description_text,workplace_address_city,driving_license_required,employment_type_label,working_hours_type_label
"Medrek Rekrytering AB söker på uppdrag av Manpower Helse sjuksköterskor med grundutbildning och av alla specialiteter till arbete i Oslo och övriga Norge över sommaren!   Manpower Helse är Norges ledande bemanningsföretag vilket är tryggt för dig.Inte minst erbjuder Manpower Helse väldigt goda möjligheter till många arbetstimmar och även övertid och helgarbete  Du erbjuds: -Hög lön  -Bra tillägg vid övertid, kvälls och helgarbete -betald resa -centralt boende  Den 22 och 23 maj hålls intervjuer med sjuksköterskor i Stockholm.   Anmäl ditt intresse för att komma omgående genom att klicka på följande länk: http://www.medrek.se/run/?_sid=1&form=medrek&annonsid=86835      Ju fler veckor du är intresserad av att jobba för Manpower Helse i Norge ju större chans har du att få arbete.Speca därför i din ansökan hur många veckor du vill jobba.",STOCKHOLM,No,,Heltid/Deltid
"Familj med tre barn; två tjejer och en kille på 8,6 och 5 år söker en Au Pair som vill hjälpa till att ha hand om barnen när föräldrarna arbetar. Familjen bor ca 25 min ifrån Rom citycentre i ett stort hus med tomt. Mamman arbetar som lärare i engelska och italienska och pappan är ekonom. Barnen går alla i skolan. Familjen har även en hund, en liten cocker spaniel på 2 år.  Familjens intressen är bla fotboll, konst, musik, mode, matlagning, familj och vänner, idrott i alla former, skidåkning, resa.  Som familjens Au Pair kommer du att bli en del utav familjen och de vill att du ska känna dig som en i familjen. Du kommer att få följa med på deras utflykter och resor (om du vill). Dina dagliga sysslor kommer att innebära att följa barnen till skolan leka med dem under eftermiddagarna, förbereda lunch, ta barnen på olika aktiviteter efter skolan, hjälpa dem med läxor, städa undan i köket efter maten, hjälpa till att hålla i ordning i barnen rum, tvätta och hjälpa till med strykning.   Familjen söker dig som kan börja i juni/juli. De söker någon som kan stanna i 8-10 månader. Du måste ha erfarenhet av barnpassning, tex suttit barnvakt eller praktiserat på dagis/skola, tagit hand om ungdomar inom idrott osv. Du måste vara icke-rökare (barnen är allergiska).",STOCKHOLM,No,,Deltid
"Din uppgift blir att tillsammans med medarbetare leda och utveckla förvaltningen.  Du ska arbeta med övergripande och strategiska frågor inom ditt verksamhetsområde i nära samverkan med övriga förvaltningar och bolag i koncernen. Du ingår också i vår centrala ledningsgrupp.  Du blir chef för Tekniska kontoret och direkt underställd kommunchefen. Förvaltningen innefattar kommunens samlade tekniska verksamheter -huvuddelen av kommunens fastighetsbestånd, avfallshantering, VA, gator/parker, kost och lokalvård samt bostadsanpassning - med en total budget på cirka 147 mkr.   För att lyckas med din uppgift tror vi att du har högskoleutbildning, civilingenjörsexamen eller annan likvärdig teknisk utbildning. Du har erfarenhet från arbete i ledande befattning, gärna i en politiskt styrd organisation.  Vi fäster stor vikt vid personliga egenskaper, framför allt ledarskap och samarbetsförmåga Liksom förmåga att skapa ett öppet och förtroendefullt arbetsklimat.  Om du vill vara säker på att Din ansökan behandlas ska den vara inlämnad senast 2006-07-14.",KALIX,No,,Heltid
"Vi har behov for operasjonssykepleiere til langtidsoppdrag i Norge til høsten. Vi trenger deg fra uke 34, du må gjerne ha kompetanse på nevrokirurgi, brannsakder, hode/ hals.  Du har: minimum 2 års erfaring som sykepleier og Norsk legitimasjon",,No,,Heltid
"Detta är det perfekta jobbet ! Arbetstiderna är 11-18, vardagar och du träffar många härliga människor!   I år har vi gått vi in på vårt åttonde år med Direkt Dialog som främsta metod att skaffa nya månadsgivare. Eftersom Greenpeace inte tar emot gåvor från företag, föreningar eller stater, är vi helt beroende av privatpersoner som vill stödja vårt viktiga miljöarbete.  Vi söker dig som inser vikten av en engagerad allmänhet och som tror på Greenpeace vision om en friskare planet.  Kort sagt - en person som tror att det går att förändra världen till det bättre! Som värvare talar du med folk på gator och torg i syfte att få dem att bidra ekonomiskt till Greenpeace arbete. För rätt person är det ett mycket givande arbete där kunskap och trevliga arbetskamrater blir en central del även om jobbet i sig är tufft.   För att passa till jobbet ska du tycka om att arbeta mot konkreta mål, vara utåtriktad och självgående samt ha en hög arbetsmoral. Dessa egenskaper är viktiga eftersom arbetet innebär frihet under ansvar. Givetvis får du utbildning och löpande coachning av Greenpeace. Du måste också ha goda kunskaper i svenska språket.   Vi ser fram emot din ansökan.  Tycker du att jobbet låter spännande? I så fall så skickar du din ansökan till Lena-Olivia Andersson.",STOCKHOLM,No,,Deltid
"Familj i Paris med två barn på 6 och 4 år söker dig som älskar barn och vill bli del utav en franska familj under ett år. Familjen bor i hus där du har eget rum och eget badrum. Båda barnen går i skolan, den yngsta endast förmiddagar. Mamman arbetar som Admin chef på ett konferens företag. Pappan är läkare. Ungdomlig och social familj som gärna tar dig med på sina utflykter osv på helgerna. De har haft Au Pairer genom agenturen tidigare och alla har trivts mycket bra.  Underbart läge, nära till allt; affärer, restauranger, skolor, metro, andra Au Pairer osv.   Familjens största intressen är golf, fotboll, tennis, segelflygning, resa, cykla, naturen, resor, musik, matlagning.  Familjen behöver din hjälp med att ta hand om barnen när föräldrarna arbetar. Ditt arbete kommer innebära att förbereda frukost och hjälpa till på mornarna så att de kommer iväg till skolan, följa dem, hämta dem, hitta på aktiviteter med barnen när ni är ensamna, ta en promenad till parken, läsa, gå  på bio eller museum, följa dem till eftermiddagsaktiviteter så som balettlektion och simskola, hjälpa till med läxläsning, leka utomhus, mm.   Familjen söker dig som har varit barnvakt eller tagit hand om barn tidigare och som älskar barn. De behöver någon som är positiv och flexibel och som tycker om när det händer saker. Ett plus om du har läst franska iallafall i ett par år. Du måste vara rökfri.",STOCKHOLM,No,,Deltid
"Alla inom ett cafe/restaurang förekommande arbetsuppgifter, bla att ta emot beställningar både över disk och per telefon, kassa, bordsservering, tillredning av smörgåsar och sallader m.m.   Utbildning/Erfarenhet: Du ska gärna ha arbetat tidigare inom kök, cafe, konditori eller restaurang.",STOCKHOLM,No,,Heltid
"Alla inom ett cafe/restaurang förekommande arbetsuppgifter, bla att ta emot beställningar både över disk och per telefon, kassa, bordsservering, tillredning av smörgåsar och sallader m.m.   Utbildning/Erfarenhet: Du ska gärna ha arbetat tidigare inom kök, cafe, konditori eller restaurang.",Stockholm,No,,Heltid
"Alla inom ett cafe/restaurang förekommande arbetsuppgifter, bla att ta emot beställningar både över disk och per telefon, kassa, bordsservering, tillredning av smörgåsar och sallader m.m.   Utbildning/Erfarenhet: Du ska gärna ha arbetat tidigare inom kök, cafe, konditori eller restaurang.",STOCKHOLM,No,,Heltid
"Diskare till cafe Dubbel W sökes.  Då arbetet innebär mycket kundkontakter, är det bra om du som sökande har goda kunskaper i det svenska språket.",STOCKHOLM,No,,Heltid
